name,job_title,phd_univ,phd_year,research_area,research_concentration,research_focus,url,img_url,phone,email,cell_phone,office_address,department,school
Charles Van Loan,Professor Emeritus,Univ Michigan,1973,Scientific Computing,,Numerical linear and multilinear algebra,http://www.cs.cornell.edu/cv/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/cv_photo.jpg?itok=JOzwx1T0,,,,,Computer Science,
Robbert van Renesse,Professor,Vrije Universiteit,1989,"Security, Systems and Networking",Systems,"Scalable, adaptive, and secure group communication protocols",https://www.cs.cornell.edu/home/rvr/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/van%20Renesse%2C%20Robbert.jpg?itok=OmCAcs9g,,,,,"Computer Science, CS Field Member, Director of Graduate Studies",
Marten van Schijndel,Assistant Professor,The Ohio State Univ,2017,Artificial Intelligence,Artificial Intelligence,"Natural language processing, machine learning, cognitive modeling",https://vansky.github.io/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/marten.png?itok=QG_La6gX,,,,,"Linguistics, CS Field Member",
Anke van Zuylen,Senior Lecturer,Cornell Univ,2008,"Computational Biology, Theory of Computing",,"Theory of Computation, Computational Biology, Discrete Optimization, Operations Research",http://ankevanzuylen.com,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/avz2-cs-srlec-001_2.jpg?itok=mZRmCw5z,,,,,"Computer Science , CS Minor Field Member",
Aaron Wagner,Associate Professor,Univ California Berkeley,2005,"Security, Theory of Computing",Theory of Computation,"information theory, especially compression, feedback communication, security, and quantum information.",https://people.ece.cornell.edu/wagner/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/aaron.jpg?itok=iKY9Ved5,,,,,Electrical and Computer Engineering; CS Field Member,
Fei Wang,Associate Professor,Tsinghua Univ,2008,Artificial Intelligence,Artificial Intelligence,"Data Mining, Machine Learning, Health Data Science, Clinical Decision Support, Computational Drug Discovery",https://sites.google.com/site/cornellwanglab/home,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/fei_wang_1.jpeg?itok=ds7CYP6h,,,,,"Weill Medical, CS Field Member",
Hakim Weatherspoon,Professor and Associate Director of the Cornell Institute for Digital Agriculture (CIDA),Univ California Berkeley,2006,"Security, Systems and Networking",Systems,"Fault-tolerance, reliability, security, and performance of Internet-scale systems",http://www.cs.cornell.edu/~hweather,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Weatherspoon%2C%20Hakim.jpg?itok=0FUEpKat,,,,,"Computer Science, CS Field Member",
Kilian Weinberger,Professor,Univ Pennsylvania,2007,Artificial Intelligence,Artificial Intelligence,Machine Learning with a focus on real-world problems,http://www.cs.cornell.edu/~kilian/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/kilian.png?itok=KROxKIFb,,,,,"Computer Science, CS Field Member",
Walker White,Senior Lecturer,Cornell Univ,2000,"Database Systems, Human Interaction",,"Database Theory, Information Privacy, Logic applications to Computer Science",http://www.cs.cornell.edu/~wmwhite/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/White%2C%20Walker.jpg?itok=KUdPEWZ9,,,,,Computer Science,
Stephen Wicker,Professor,Univ Southern California,1987,"Artificial Intelligence, Theory of Computing","Artificial Intelligence, Theory of Computation","Artificial intelligence, game theory and wireless information networks",http://wisl.ece.cornell.edu/wicker/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Wicker%2C%20Stephen.jpg?itok=qO5UJrGp,,,,,"Electrical and Computer Engineering, CS Field Member",
Mark Wilde,Associate Professor,Univ Southern California,2008,Theory of Computing,Theory of Computation,Quantum computation,https://www.markwilde.com/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/mark-wilde.jpeg?itok=2v2lebor,,,,,,
David Williamson,Professor,MIT,1993,Theory of Computing,Theory of Computation,"Algorithms, combinatorial optimization, computer science",http://www.davidpwilliamson.net/work,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Williamson%2C%20David.jpg?itok=XL6Z9BMA,,,,,"Operations Research and Information Engineering, CS Field Member",
Qian Yang,Assistant Professor,Carnegie Mellon Univ,2020,"Artificial Intelligence, Scientific Computing","Artificial Intelligence, Scientific Computing and Applications",,https://qianyang.co/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/img_5328.jpg?itok=nX0rBTIm,,,,,"Information Science, CS Field Member",
Fengqi You,Roxanne E. and Michael J. Zak Professor in Energy Systems Engineering at Cornell University,Carnegie Mellon Univ,2009,Artificial Intelligence,Artificial Intelligence,"Fundamental theory and methods in systems engineering and artificial intelligence, as well as their applications to materials informatics, smart manufacturing, digital agriculture, quantum computing, energy systems, and sustainability",https://www.cheme.cornell.edu/faculty-directory/fengqi-you,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/fengqi_you_0.jpg?itok=eXNfIWyl,,,,,"Chair of Ph.D. Studies in Cornell Systems Engineering, Co-director of the Cornell University AI for Science Institute, Associate Director of Cornell Energy Systems Institute, Co-lead of Schmidt AI in Science Program at Cornell, and Associate Director of C",
Christina Lee Yu,Assistant Professor,MIT,,Theory of Computing,Theory of Computation,"Theory of Computing, Artificial Intelligence (Machine Learning), Scientific Computing",https://people.orie.cornell.edu/cleeyu/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/christina.jpg?itok=oe-YuVlZ,,,,,"ORIE, CS Field Member",
Haiyuan Yu,Professor,Yale,2005,Computational Biology,Scientific Computing and Applications,"Biomedical systems biology, machine learning, algorithm development, with an emphasis on network analysis, to understand human disease and evolution of species",https://www.yulab.org,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/yu.jpg?itok=AqQn4IXL,,,,,"Biological Statistics & Computational Biology, CS Field Member",
Ramin Zabih,Professor,Stanford Univ,1994,"Human Interaction, Vision","Artificial Intelligence, Theory of Computation","Computer vision and its applications, especially in medical imaging, with an emphasis on the use of combinatorial optimization algorithms",http://www.cs.cornell.edu/~rdz,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Zaibh%2C%20Ramin.jpg?itok=SAI9QIZ3,,,,,"Computer Science, Cornell Tech, CS Field Member",
Cheng Zhang,Assistant Professor,Georgia Institute Technology,2018,Artificial Intelligence,Systems,"Ubiquitous Computing, Wearable Computing, Human Computer Interaction",http://www.czhang.org/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/cheng_pic-224x300_0.jpeg?itok=DqUzddEI,,,,,"Information Science, CS Field Member",
Zhiru Zhang,Assistant Professor,Univ California LA,2007,Systems and Networking,Systems,"Computer-aided design methodologies, optimization algorithms, compilers, and computer architectures of gigascale integrated systems; esp. system-on-chips",http://www.csl.cornell.edu/~zhiruz/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Zhang%2C%20Shiru.jpg?itok=NH-hY5hI,,,,,"Electrical and Computer Engineering, CS Field Member",
